ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นโพธิ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 94 , 95 , 294 , 295 , 589
ฝันเห็นโพรงไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไพ่ | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้เล่นการพนันไพ่ หรือจับไพ่ในมือ  ทำนายว่า จะได้พบรักหรือเนื้อคู่ หรือจะได้โชคลาภจากเพศตรงข้าม | เลขเด็ด: 14 , 18 , 38 , 385 , 351
ฝันเห็นฟองน้ำ | การงาน: ฝันเห็นฟองน้ำ ทำนายว่า จะมีคนทำให้เสียชื่อเสียง ถ้าสมัครงานจะยังไม่สมหวัง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟองสบู่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟ้อนรำ | การงาน: หญิงชายใดฝันเห็นการฟ้อนรำ  ทำนายว่า จะต้องโยกย้ายบ้านที่อยู่หรือที่ทำงาน ถ้าฝันว่าตนฟ้อนรำเอง จะได้รับเคราะห์จากมิตรสหาย หรือผู้ร่วมงาน หรือหุ้นส่วนการค้า | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 29 , 291 , 299 , 289
ฝันเห็นฟักทอง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟักแฟง | การงาน: ถ้าฝันรับประทานหัวหอมหัวกระเทียม ทำนายว่า งานที่คิดไว้หรือกำลังดำเนินอยู่จะสำเร็จและก้าวหน้าไปด้วยดี | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟังธรรม | การงาน: ฝันว่าตนเองได้เข้าไปนั่งรับศีล ฟังธรรม หรือจำศีลภาวนาในที่สงบ  ทำนายว่า จะหมดเคราะห์ หรือเจ็บป่วยจะหาย จะได้เลื่อนตำแหน่งหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 58 , 88 , 89 , 588 , 188 , 898
ฝันเห็นฟัน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 34 , 294 , 298 , 384
ฝันเห็นฟันดาบ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 34 , 294 , 298 , 384
ฝันเห็นฟาก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 88 , 448 , 418
ฝันเห็นฟาง | การงาน: หญิงชายใดฝันว่าได้นอนบนกองฟาง  ทำนายว่า จะได้รับโชคลาภจากญาติผู้ใหญ่ หรือได้เลื่อนตำแหน่งหน้าที่ในการงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 121 , 114 , 116
ฝันเห็นฟ้าผ่า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 90 , 92 , 94 , 190 , 192 , 194
ฝันเห็นฟ้าร้อง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟ้าแลบ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฟุตบอล | การงาน: ฝันเห็นลูกบอล หรือได้เตะลูกบอลหรือลูกหนังกลมๆ  ทำนายว่า จะได้รับผลสำเร็จในการงานที่กำลังริเริ่มทำ หรือกำลังทำอยู่ เรื่องขัดข้องต่างๆ จะหมดสิ้นไป จะได้รับโชคสมหวัง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 05 , 06 , 506 , 508 , 509
ฝันเห็นฟูกนอน | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า ได้นอนฟูกที่นอนใหม่  ทำนายว่า จะได้ พบเนื้อคู่ หรือจะมีโชคลาภจากเพศตรงข้าม | เลขเด็ด: 46 , 33 , 49 , 446 , 393 , 294
ฝันเห็นเฟื่องฟ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไฟไหม้ | การงาน: ถ้าฝันว่าเดินเข้าไปในบ้านร้าง ทำนายว่า จะต้องโยกย้ายที่อยู่หรือการงาน | ความรัก: ฝันเห็นบ้านหรือเรือนปรักหักพัง ทำนายว่า จะเสียของรักหรือมีเหตุทะเลาะวิวาทภายในครอบครัว | เลขเด็ด: ไม่ระบุ
